first timestamp,106
timestamp,repeats,distance_from_founder
106,632,0
106,43,1
106,37,1
106,26,1
106,21,1
106,9,1
1815,167,2
1815,114,4
1815,71,6
1815,67,6
1815,54,4
1815,53,3
1815,42,5
1815,37,5
1815,31,7
1815,28,3
1815,28,8
1815,23,3
1815,21,8
1815,20,3
1815,19,4
1815,17,3
1815,17,3
1815,16,7
1815,16,7
1815,14,4
1815,8,5
1815,7,5
2214,338,4
2214,122,5
2214,115,4
2214,84,5
2214,76,3
2214,76,4
2214,69,4
2214,68,5
2214,67,5
2214,66,3
2214,63,5
2214,56,6
2214,56,8
2214,54,5
2214,44,6
2214,34,6
2214,17,5
227,421,0
227,115,1
227,65,1
227,39,1
227,29,1
227,6,1
2608,337,4
2608,60,3
2608,37,4
2608,35,5
2608,33,7
2608,28,8
2608,28,4
2608,24,6
2608,23,2
2608,18,7
2608,17,7
2608,17,10
2608,16,5
2608,16,7
2608,16,5
2608,15,4
2608,15,6
2608,15,4
2608,15,6
2608,14,5
2608,14,7
2608,14,9
2608,13,7
2608,13,6
2608,13,5
2608,13,7
2608,12,3
2608,12,5
2608,12,6
2608,11,7
2608,11,7
2608,11,7
2608,11,8
2608,11,5
2608,11,6
2955,60,7
2955,42,6
2955,37,7
2955,32,5
2955,30,8
2955,29,5
2955,25,6
2955,25,5
2955,24,7
2955,23,7
2955,21,6
2955,19,6
2955,18,8
2955,17,7
2955,17,5
2955,17,5
2955,13,5
2955,13,4
2955,11,7
2955,11,7
2955,10,4
2955,9,4
2955,9,6
2955,9,8
2955,9,8
2955,9,9
2955,9,6
2955,9,6
2955,9,6